year,totalAttend,dayLength
2024,1925904,12
2023,1835826,12
2022,1842222,12
2021,1301584,12
2020,0,0
2019,2126551,12
2018,2046533,12
2017,1997320,12
2016,1943719,12
2015,1779738,12
2014,1824830,12
2013,1731162,12
2012,1788512,12
2011,1769872,12
2010,1776211,12
2009,1790497,12
2008,1693263,12
2007,1681678,12
2006,1680579,12
2005,1632876,12
2004,1631940,12
2003,1741825,12
2002,1706486,12
2001,1762976,12
2000,1682625,12
1999,1674450,12
1998,1689034,12
1997,1683454,12
1996,1673976,12
1995,1673312,12
1994,1561930,12
1993,1601325,12
1992,1550603,12
1991,1488810,12
1990,1528688,12
1989,1551361,12
1988,1621279,12
1987,1612178,12
1986,1565349,12
1985,1496014,12
1984,1446450,12
1983,1347884,12
1982,1321785,12
1981,1414809,12
1980,1325360,12
1979,1405669,12
1978,1386457,12
1977,1299017,12
1976,1266328,12
1975,1385242,12
1974,1596214,11
1973,1440330,11
1972,1448977,11
1971,1370210,10
1970,1332784,10
1969,1376887,10
1968,1457829,10
1967,1355817,10
1966,1359750,10
1965,1176633,10
1964,1228474,10
1963,1183125,10
1962,1070204,10
1961,1119595,10
1960,1078408,10
1959,1129738,10
1958,1193661,10
1957,1054484,10
1956,1036736,10
1955,1007101,10
1954,946565,10
1953,865523,10
1952,819015,10
1951,900399,10
1950,905563,10
1949,830040,10
1948,855011,10
1947,902693,10
1946,0,0
1945,0,0
1944,416498,10
1943,438813,10
1942,585334,10
1941,762228,10
1940,666720,10
1939,706619,10
1938,582161,8
1937,637025,8
1936,636484,8
1935,526916,8
1934,452614,8
1933,427765,8
1932,331116,8
1931,392669,8
1930,460112,8
1929,433268,8
1928,457212,8
1927,442747,8
1926,411275,8
1925,441232,8
1924,413623,8
1923,418828,8
1922,393444,8
1921,430905,8
1920,535478,8
1919,581643,8
1918,443365,6
1917,397199,6
1916,314104,6
1915,339369,6
1914,321465,6
1913,352438,6
1912,364128,6
1911,242145,6
1910,318264,6
1909,328678,6
1908,326743,6
1907,286678,6
1906,295263,6
1905,273054,6
1904,196098,6
1903,236243,6
1902,227989,6
1901,185642,6
1900,134441,6
1899,53382,6
1898,84502,6
1897,70643,6
1896,91970,6
1895,82475,6
1894,49080,6
1893,0,0
1892,63804,6
1891,63592,6
1890,47342,6
1889,66430,6
1888,64049,6
1887,92742,6